samplenr	I	II	III	aVR	aVL	aVF	V1	V2	V3	V4	V5	V6	measurement
93	-60	20	80	20	-80	60	20	-100	80	0	-20	60
94	-60	40	80	20	-80	60	20	-100	80	0	-20	60
95	-60	40	80	20	-80	60	20	-100	80	0	-20	60
96	-60	40	100	20	-80	60	20	-100	80	0	-20	60
97	-60	40	100	20	-80	60	20	-100	80	0	-20	60
98	-60	40	80	20	-80	60	20	-120	80	0	-20	60
99	-40	60	80	0	-60	60	20	-100	80	0	-20	60
100	-20	80	80	-20	-60	80	20	-80	80	0	-20	60
101	-20	60	80	-20	-60	80	20	-80	80	0	-20	60
102	-40	40	80	-20	-60	80	0	-100	80	0	-20	60
103	-60	40	100	0	-80	80	0	-120	80	0	-20	60
104	-60	40	120	0	-80	80	0	-120	80	0	-20	80
105	-40	60	100	-20	-80	80	0	-100	80	0	0	80
106	-40	80	100	-20	-80	80	0	-100	80	0	0	80
107	-40	60	100	0	-80	80	0	-120	80	0	0	80
108	-40	40	100	20	-80	80	0	-120	80	0	0	80
109	-60	40	100	20	-80	80	0	-120	80	0	-20	60
110	-80	40	100	20	-80	80	0	-120	80	0	-40	60
111	-60	40	100	20	-80	80	0	-120	80	0	-20	60
112	-60	40	100	20	-80	80	0	-120	80	0	0	60
113	-60	40	100	20	-100	80	0	-120	80	0	-20	60
114	-60	40	100	20	-100	80	0	-120	80	-20	-40	60
115	-60	40	100	20	-80	80	0	-120	80	-20	-20	60
116	-60	60	120	0	-80	80	20	-100	80	-20	-20	60
117	-60	60	120	-20	-80	80	20	-100	80	0	-20	80
118	-40	60	100	-20	-80	80	20	-100	80	0	-20	80
119	-40	60	100	-20	-80	80	20	-120	80	0	-20	80
120	-40	80	120	-20	-80	100	20	-100	100	0	0	80
121	-40	100	140	-40	-80	120	20	-80	120	20	20	80
122	-40	120	140	-40	-80	120	20	-80	120	40	20	80
123	-20	120	140	-40	-80	120	40	-80	120	40	20	80
124	-20	120	120	-40	-80	120	40	-80	120	40	20	80
125	-20	100	100	-40	-80	100	40	-80	120	20	20	80
126	-20	100	120	-40	-80	100	40	-80	120	20	20	80
127	-20	100	120	-40	-80	100	40	-80	120	20	20	80
128	-20	80	120	-40	-80	100	40	-60	120	20	20	80
129	-20	80	100	-40	-60	100	40	-60	120	20	20	80
130	-20	100	120	-40	-80	100	40	-60	120	20	20	80
131	-20	100	120	-40	-80	100	40	-60	120	20	20	80
132	-20	80	100	-40	-60	80	40	-60	120	20	0	80
133	-20	80	80	-40	-40	80	40	-40	120	20	0	80
